App#,Roll#,Score,UR-Rank,Category-Ranks
N26004483,108588048682,160.4,1.0,SC-1
N26071957,108116116783,159.95,2.0,OBC-1
N26050180,109577087407,159.4,3.0,
N26064765,109577087670,159.1,4.0,OBC-2
N26077261,140039061934,155.8,5.0,
N26085180,108817096960,154.95,6.0,SC-2
N26046309,109345032123,153.8,7.0,
N26056338,139026070888,152.8,8.0,
N26151182,108481043215,151.25,9.0,OBC-3
N26003729,108116117108,150.65,10.0,
N26121027,133035081370,150.1,11.0,
N26025112,108116116714,149.1,12.0,
N26014565,126797058136,148.1,13.0,
N26031505,141478041821,147.95,14.0,
N26049586,108769009217,147.8,15.0,
N26097257,109345032386,147.65,16.0,OBC-4
N26108171,141479028863,146.25,17.0,OBC-5
N26017471,142057033262,145.8,18.0,
N26020990,108017093008,145.4,19.0,
N26108273,100201033562,145.25,20.0,
N26059405,108450078341,145.1,21.0,
N26077255,108588048876,145.1,22.0,
N26034414,109345032295,144.8,23.0,
N26090486,116678113641,144.65,24.0,
N26148586,108481042964,144.5,25.0,
N26050170,108836038899,144.25,26.0,
N26128977,107967038170,144.1,27.0,OBC-6
N26011904,115806098631,144.1,28.0,
N26047452,108449083013,143.95,29.0,
N26000351,101897112902,143.8,30.0,
N26071081,141881064087,143.1,31.0,
N26154646,108567046253,142.8,32.0,
N26031738,108765096460,142.65,33.0,
N26075741,111353052817,142.65,34.0,
N26025285,137201073091,142.65,35.0,
N26098118,108000004856,141.8,36.0,OBC-7
N26119755,109577087030,141.65,37.0,OBC-8
N26103788,109451050262,141.65,38.0,
N26097193,109345032186,140.95,39.0,
N26142814,107976091394,140.8,40.0,
N26117385,141585088488,140.1,41.0,
N26095629,141881064115,139.95,42.0,
N26134502,123401107901,139.8,43.0,
N26062089,142250089873,138.95,44.0,
N26040273,100583058609,138.8,45.0,
N26017072,115822080903,138.65,46.0,
N26096223,142117069842,138.35,47.0,
N26097073,115134089727,137.95,48.0,
N26035218,109345032299,137.95,49.0,
N26100181,142126067193,137.65,50.0,
N26019428,108116117329,137.5,51.0,
N26047082,108050084178,137.2,52.0,
N26013093,116678113520,136.95,53.0,
N26015519,142057033069,136.65,54.0,
N26048392,108588049013,136.5,55.0,
N26051180,141896044300,136.4,56.0,
N26139681,137301095841,136.35,57.0,OBC-9
N26120552,116678113705,136.2,58.0,
N26054734,102746014636,135.95,59.0,OBC-10
N26146822,140939014156,135.8,60.0,SC-3
N26005814,128910094103,134.95,61.0,
N26003308,108116115506,134.95,61.0,
N26081488,108554049806,134.8,63.0,OBC-11
N26099837,108099020148,134.65,64.0,
N26115769,141683077302,134.65,65.0,
N26082999,140670062105,134.5,66.0,
N26095974,108800120866,134.35,67.0,
N26125231,107745075697,133.65,68.0,
N26036825,108450078535,133.5,69.0,
N26015800,125902011098,133.5,70.0,OBC-12
N26035886,108042027188,133.5,70.0,JK-1
N26116966,140775024520,133.5,72.0,
N26086553,109345032176,133.35,73.0,
N26032094,141826007655,132.95,74.0,
N26096231,108743034188,132.65,75.0,SC-4
N26005481,140674055243,132.2,76.0,
N26151595,108769009361,132.2,77.0,
N26042268,109688037056,132.1,78.0,OBC-13
N26055317,140670062253,131.65,79.0,
N26044338,107932111291,131.65,80.0,
N26080375,123887121402,131.5,81.0,
N26030568,116699059473,131.35,82.0,
N26153773,109345032452,131.35,83.0,
N26056439,104973052145,131.05,84.0,
N26017139,108050083907,130.65,85.0,
N26046545,107996000301,130.5,86.0,
N26028919,125019050612,130.5,87.0,
N26100948,101971055505,130.35,88.0,
N26039623,108050084164,130.35,89.0,
N26050394,142117069782,130.2,90.0,SC-5
N26057623,128910094168,130.2,91.0,
N26075937,141479028591,129.95,92.0,OBC-14
N26054011,107976091279,129.95,93.0,
N26004664,115135111983,129.8,94.0,
N26081206,108588048053,129.65,95.0,
N26131538,108564046917,129.65,95.0,OBC-15
N26009474,111355053421,129.65,97.0,
N26135659,108800121144,129.5,98.0,
N26069656,109345032162,129.35,99.0,
N26102282,107984066287,129.2,100.0,
N26078507,115024090737,129.05,101.0,
N26015374,112176035400,129.05,102.0,OBC-16
N26045009,127299044526,128.95,103.0,
N26113057,133035081193,128.5,104.0,OBC-17
N26087294,141585088431,128.5,105.0,
N26130201,101118075364,128.35,106.0,
N26095463,114089098530,127.8,107.0,OBC-18
N26041424,114449080341,127.8,108.0,
N26003199,142062054293,127.65,109.0,
N26112097,123419112273,127.65,110.0,SC-6
N26104421,108116116620,127.5,111.0,
N26104579,141908105663,127.5,112.0,
N26057207,100926092151,127.35,113.0,
N26113866,116700059752,127.25,114.0,
N26089323,141585088661,127.2,115.0,
N26000316,108449082964,126.9,116.0,
N26055127,108817096920,126.8,117.0,OBC-19
N26033321,100926092628,126.5,118.0,
N26110727,141547063057,126.5,119.0,
N26008319,142247067245,126.5,120.0,
N26092942,108120066423,126.5,121.0,
N26056508,108050084390,126.5,122.0,
N26122500,108044102257,126.35,123.0,
N26075446,107998051303,126.35,123.0,OBC-20
N26109345,140083029809,126.05,125.0,
N26081231,109577087692,126.05,126.0,
N26089031,100583058519,125.8,127.0,
N26065657,109519106711,125.65,128.0,
N26141182,108588048155,125.65,128.0,OBC-21
N26062241,111353052794,125.65,130.0,
N26024689,108044103188,125.5,131.0,
N26131861,109208002319,125.5,132.0,OBC-22
N26087987,108588049407,125.35,133.0,SC-7
N26012761,137507110778,125.35,134.0,
N26080110,140083029770,125.2,135.0,
N26130569,108817097025,125.2,136.0,OBC-23
N26029665,108348020619,125.05,137.0,
N26043792,141507096044,124.9,138.0,OBC-24
N26001399,100141073579,124.8,139.0,
N26069364,108348020693,124.65,140.0,
N26039882,101647014349,124.35,141.0,
N26113844,100673008038,124.35,142.0,
N26003275,142141063126,124.35,143.0,
N26121409,111355053346,124.2,144.0,
N26093644,107959085887,123.9,145.0,OBC-25
N26022822,109577087366,123.9,146.0,
N26143177,108588049325,123.8,147.0,
N26089545,142281019990,123.65,148.0,
N26115255,116678113695,123.65,149.0,
N26135124,101262112729,123.65,150.0,
N26103657,123419112267,123.65,151.0,
N26130272,141478041493,123.35,152.0,
N26062423,107932111328,123.35,153.0,
N26008113,108836038827,123.35,154.0,
N26012477,125019050807,123.2,155.0,OBC-26
N26121063,108017093142,123.2,156.0,
N26087587,107850081861,123.2,157.0,OBC-27
N26015074,116678113524,123.2,158.0,
N26053146,108116115157,123.05,159.0,
N26113755,138190068897,122.95,160.0,
N26098583,101971055502,122.9,161.0,
N26081852,102172118788,122.8,162.0,
N26061188,115822080747,122.5,163.0,
N26153475,108031001834,122.5,164.0,OBC-28
N26103122,137518031660,122.5,165.0,OBC-29
N26074905,135766091577,122.5,166.0,
N26092124,108320030221,122.5,167.0,
N26089143,140799027981,122.5,168.0,
N26023904,137201073087,122.35,169.0,OBC-30
N26113775,108588049115,122.35,170.0,
N26140970,108002021953,122.2,171.0,OBC-31
N26089101,140676062427,122.2,172.0,
N26070513,140676062597,122.2,173.0,
N26121949,108208021483,122.2,174.0,
N26027738,140670062236,122.2,175.0,OBC-32
N26017100,114449080472,122.05,176.0,
N26067647,126808039173,122.05,177.0,OBC-33
N26043444,102172118885,122.05,178.0,
N26047747,102172118894,122.05,179.0,
N26081528,108116117428,121.9,180.0,
N26105629,134028119163,121.45,181.0,
N26031967,141683077197,121.35,182.0,
N26054986,128847100329,121.35,183.0,
N26076030,138806071716,121.35,184.0,OBC-34
N26095204,130632109381,121.2,185.0,
N26036046,109531118442,121.2,186.0,
N26066536,108800120815,121.2,187.0,
N26136510,108030033893,121.2,188.0,
N26131080,130632109418,121.2,189.0,
N26033375,141875022132,121.05,190.0,
N26119321,108450078439,121.05,191.0,
N26024709,108320031196,121.05,192.0,
N26088273,140670062116,121.05,193.0,
N26047706,138141001400,120.8,194.0,OBC-35
N26086760,141682076404,120.75,195.0,
N26041695,109496036698,120.65,196.0,
N26114240,142057032832,120.65,197.0,
N26016680,101118074993,120.65,198.0,
N26117532,108752086825,120.6,199.0,
N26106435,137316011406,120.5,200.0,SC-8
N26029733,100781074451,120.5,201.0,
N26109257,108763068206,120.5,202.0,
N26062588,108116117990,120.35,203.0,SC-9
N26057597,109519106549,120.35,204.0,OBC-36
N26027555,104595046277,120.35,205.0,
N26007910,108747015298,120.35,206.0,
N26070425,108800120822,120.2,207.0,
N26005587,108050084333,120.2,208.0,OBC-37
N26074923,111353052814,120.2,209.0,
N26154198,114328119633,120.05,210.0,
N26082586,141668108248,120.05,211.0,OBC-38
N26073643,108777114463,119.9,212.0,
N26068251,138960091827,119.9,213.0,SC-10
N26069450,115799038455,119.9,214.0,OBC-39
N26088189,141479028385,119.65,215.0,
N26051530,107906055596,119.5,216.0,
N26029967,142127056212,119.5,217.0,
N26064084,112176035274,119.35,218.0,
N26074043,115903055334,119.35,219.0,"OBC-40, UR-Div-1, OBC-Div-1"
N26099087,108683022731,119.2,220.0,
N26037771,107293027122,119.2,221.0,JK-2
N26042933,108763068116,119.2,222.0,
N26019577,108050083912,119.2,223.0,
N26005932,108017092987,119.2,224.0,
N26094754,141654005323,119.05,225.0,
