App#,Roll#,Score,UR-Rank,Category-Ranks
N26035886,108042027188,133.5,70.0,1
N26037771,107293027122,119.2,221.0,2
N26106876,108042027252,112.9,369.0,3
N26098648,107994026879,110.2,434.0,4
N26004611,134007027510,108.2,500.0,5
N26139782,108042027297,107.6,523.0,6
N26023360,107994026768,105.75,598.0,7
N26006740,107994026736,104.9,629.0,8
N26016970,107994026296,102.3,748.0,9
N26007005,107994026739,98.3,1009.0,10
N26125020,108042027278,92.45,1471.0,12
N26120596,107994026678,91.15,1594.0,13
N26064823,107994026839,90.6,1630.0,14
N26009190,107994026740,90.45,1643.0,15
N26074274,108042027224,89.3,1760.0,16
N26052808,107994027014,88.75,1833.0,17
N26021353,134007027334,87.3,2001.0,19
N26077057,108042027227,86.15,2107.0,20
N26044850,107994026808,86.15,2121.0,21
N26062783,134007027583,85.15,2225.0,22
N26019948,107994026301,84.3,2338.0,23
