App#,Roll#,Score,UR-Rank,Category-Ranks
N26071957,108116116783,159.95,2.0,1
N26064765,109577087670,159.1,4.0,2
N26151182,108481043215,151.25,9.0,3
N26097257,109345032386,147.65,16.0,4
N26108171,141479028863,146.25,17.0,5
N26128977,107967038170,144.1,27.0,6
N26098118,108000004856,141.8,36.0,7
N26119755,109577087030,141.65,37.0,8
N26139681,137301095841,136.35,57.0,9
N26054734,102746014636,135.95,59.0,10
N26081488,108554049806,134.8,63.0,11
N26015800,125902011098,133.5,70.0,12
N26042268,109688037056,132.1,78.0,13
N26075937,141479028591,129.95,92.0,14
N26131538,108564046917,129.65,95.0,15
N26015374,112176035400,129.05,102.0,16
N26113057,133035081193,128.5,104.0,17
N26095463,114089098530,127.8,107.0,18
N26055127,108817096920,126.8,117.0,19
N26075446,107998051303,126.35,123.0,20
N26141182,108588048155,125.65,128.0,21
N26131861,109208002319,125.5,132.0,22
N26130569,108817097025,125.2,136.0,23
N26043792,141507096044,124.9,138.0,24
N26093644,107959085887,123.9,145.0,25
N26012477,125019050807,123.2,155.0,26
N26087587,107850081861,123.2,157.0,27
N26153475,108031001834,122.5,164.0,28
N26103122,137518031660,122.5,165.0,29
N26023904,137201073087,122.35,169.0,30
N26140970,108002021953,122.2,171.0,31
N26027738,140670062236,122.2,175.0,32
N26067647,126808039173,122.05,177.0,33
N26076030,138806071716,121.35,184.0,34
N26047706,138141001400,120.8,194.0,35
N26057597,109519106549,120.35,204.0,36
N26005587,108050084333,120.2,208.0,37
N26082586,141668108248,120.05,211.0,38
N26069450,115799038455,119.9,214.0,39
N26074043,115903055334,119.35,219.0,"40, UR-Div-1, OBC-Div-1"
N26023826,109345031894,118.5,231.0,41
N26123034,104273008574,118.35,235.0,42
N26063394,141547062766,118.35,236.0,43
N26143681,107998051401,118.35,237.0,44
N26022500,115806098641,118.05,245.0,45
N26134298,116678113471,117.75,253.0,46
N26075449,141549060810,117.2,263.0,47
N26121093,113305104619,117.2,264.0,48
N26092161,115803037747,117.05,268.0,49
N26123493,108320030065,116.9,269.0,50
