App#,Roll#,Score,UR-Rank,Category-Ranks
N26004483,108588048682,160.4,1.0,1
N26085180,108817096960,154.95,6.0,2
N26146822,140939014156,135.8,60.0,3
N26096231,108743034188,132.65,75.0,4
N26050394,142117069782,130.2,90.0,5
N26112097,123419112273,127.65,110.0,6
N26087987,108588049407,125.35,133.0,7
N26106435,137316011406,120.5,200.0,8
N26062588,108116117990,120.35,203.0,9
N26068251,138960091827,119.9,213.0,10
N26123378,108799067858,118.2,241.0,11
N26049689,108116117775,116.9,274.0,12
N26094052,142117069839,115.35,307.0,13
N26069344,108800120821,114.5,323.0,14
N26047069,108554049982,114.2,334.0,15
N26069333,100141073819,113.75,354.0,16
N26141923,108116115723,113.35,358.0,17
N26078958,108000004665,112.05,390.0,18
N26073045,107933114882,109.75,458.0,19
N26017477,107797120291,107.2,535.0,20
N26064125,125902011149,106.6,557.0,21
N26000960,116699059438,106.05,579.0,22
N26080474,108554049567,105.45,606.0,23
N26080982,108320031046,104.75,638.0,24
N26146131,116678113726,104.15,666.0,25
N26064632,115902061179,103.6,692.0,26
N26079409,108777114237,103.3,702.0,27
N26054380,108116116975,102.75,724.0,28
N26118655,109208002306,102.75,725.0,29
N26013727,108116116703,101.6,803.0,30
N26106335,107932111168,100.6,854.0,31
N26118778,100362114727,99.15,954.0,32
N26017013,108116118122,98.6,987.0,33
N26019772,108031001851,97.9,1031.0,34
N26051354,133978079743,97.6,1058.0,35
N26019275,135774111822,97.6,1062.0,36
N26002381,108683022602,97.45,1072.0,37
N26040234,108756070427,97.3,1090.0,38
N26071628,110624080196,96.6,1141.0,39
N26034762,107994026790,96.0,1179.0,"40, JK-11"
N26150296,114452083389,95.6,1203.0,41
N26066886,142057032776,95.6,1211.0,42
N26071300,107949101702,95.45,1218.0,43
N26013371,108116115930,94.75,1269.0,44
N26075754,133440025837,94.75,1276.0,45
N26103448,101118075328,93.9,1345.0,46
N26141954,108116115724,93.6,1380.0,47
N26071250,108116116781,93.3,1411.0,48
